et_title_product_id,et_title_product_name,et_title_variation_id,et_title_variation_name,et_title_parent_sku,et_title_variation_sku,et_title_variation_price,ps_gtin_code,et_title_variation_stock,ps_minimum_purchase_quantity,ps_maximum_purchase_quantity,ps_maximum_purchase_quantity_start_date,ps_maximum_purchase_quantity_time_period,ps_maximum_purchase_quantity_end_date,et_title_reason
sales_info,35b74571cd927608dc4cc2b998b916cb,0,20624848,"{""search_condition"":{}}",,,,,,,,,,
Kode Produk,Nama Produk,Kode Variasi,Nama Variasi,SKU Induk,SKU,Harga,GTIN,Stok,Min. Jumlah Pembelian,Maks. Jumlah Pembelian,Maks. Jumlah Pembelian - Tanggal Mulai,Maks. Jumlah Pembelian - Jumlah Hari,Maks. Jumlah Pembelian - Tanggal Berakhir,Alasan Gagal
,,,,,,Wajib,,Wajib,,,,,,
,,,,,,,,,,,,,,
,,,,,,Mohon masukkan 99 sampai 150000000 untuk harga produk. Batas harga produk termahal dibagi harga harga produk termurah: 7,,,"Min. jumlah pembelian merupakan isi dari tingkatan produk. Pembeli dapat memesan variasi yang berbeda untuk mencapai min. jumlah pembelian. Jika dikosongkan, min. jumlah pembelian akan otomatis bernilai 1. Pastikan stok lebih besar dari min. jumlah pembelian agar Pembeli dapat membuat pesanan.","[Per Pesanan + Per Periode] Pengaturan ini akan membatasi Maks. jumlah pembelian yang dapat dibeli per pesanan atau per periode. Mohon masukkan input dari 1 hingga 999,999.",[Hanya untuk Pengaturan Per Periode] Mohon tentukan tanggal mulai. Tanggal mulai tercepat adalah besok. Mohon masukkan format tanggal dalam YYYY-MM-DD.,"[Hanya untuk Pengaturan Per Periode] Batas Maks. jumlah pembelian akan berakhir (untuk tipe periode ""Tidak Berulang"") atau mulai kembali (untuk tipe periode ""Berulang"") setelah jumlah hari yang ditentukan. Mohon masukkan 1 sampai 365.","[Hanya untuk Pengaturan Per Periode] Mohon masukkan tanggal dalam format YYY-MM-DD. 

Untuk tipe periode ""Tidak Berulang"", tanggal berakhir = tanggal mulai + jumlah hari - 1. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, tanggal berakhir = 2021-05-10. 

Untuk tipe periode ""Berulang"", tanggal berakhir harus kelipatan dari jumlah hari. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, jika kamu ingin pengaturan ini diulang 2x (3 periode), tanggal berakhir = 2021-05-30.",
55409685862,"Bunga Mawar Babyrose Mawar Mini - Bunga Pink Kecil, Tahan Lama, Tanaman Hias Rumah",325855515542,,,,9900,,9997,2,,,,,
29479337942,Tanaman Camelia Merah siap berbunga,208302241348,,,,29000,,997,0,,,,,
29368325460,Indukan Melati tuscany berbunga rimbun Tanaman subur dan berbunga,215575415229,,,,125000,,186,0,,,,,
28010516846,Tanaman hias lohansung silver atau blue ice lohansung,195374082886,,,,69900,,946,0,,,,,
27629342163,Tanaman Camelia Pink siap berbunga,233928125315,,,,29000,,968,0,,,,,
26576591626,Tanaman bambu kuning mini,89109045646,,,,27000,,1913,0,,,,,
25425772331,"Mawar Potong Grade A Super, fresh 1 ikat isi 10 tangkai. bahan dekorasi/buket",227392356576,"isi 10,kuning",,,35000,,1949,1,,,,,
25425772331,"Mawar Potong Grade A Super, fresh 1 ikat isi 10 tangkai. bahan dekorasi/buket",227392356577,"isi 10,Random campur",,,35000,,1737,,,,,,
25425772331,"Mawar Potong Grade A Super, fresh 1 ikat isi 10 tangkai. bahan dekorasi/buket",240688177637,"isi 10,Putih",,,35000,,1795,,,,,,
25425772331,"Mawar Potong Grade A Super, fresh 1 ikat isi 10 tangkai. bahan dekorasi/buket",240688177638,"isi 10,Merah",,,35000,,1237,,,,,,
25425772331,"Mawar Potong Grade A Super, fresh 1 ikat isi 10 tangkai. bahan dekorasi/buket",240688177639,"isi 10,pink soft",,,35000,,1895,,,,,,
25425772331,"Mawar Potong Grade A Super, fresh 1 ikat isi 10 tangkai. bahan dekorasi/buket",240688177640,"isi 10,Salem",,,35000,,1966,,,,,,
25425772331,"Mawar Potong Grade A Super, fresh 1 ikat isi 10 tangkai. bahan dekorasi/buket",240688177641,"isi 10,Pink candy",,,35000,,1909,,,,,,
25092573148,Tanaman buah jeruk lemon jumbo cangkok siap berbuah atau berbunga,275516036317,,,,16900,,8296,0,,,,,
24892573169,Tanaman rosemary indukan. size dewasa siap panen.,242865822846,,,,25000,,954,0,,,,,
24892573143,Tanaman Sayur Peterseli atau parsley,233928247620,,,,13000,,879,0,,,,,
24592578170,Tanaman Hias asoka aneka warna bebas pilih warna,215872628388,Kuning,,,15000,,997,0,,,,,
24592578170,Tanaman Hias asoka aneka warna bebas pilih warna,215872628389,Pink,,,15000,,997,,,,,,
24592578170,Tanaman Hias asoka aneka warna bebas pilih warna,215872628385,Orange,,,15000,,999,,,,,,
24592578170,Tanaman Hias asoka aneka warna bebas pilih warna,215872628386,Putih,,,15000,,998,,,,,,
24592578170,Tanaman Hias asoka aneka warna bebas pilih warna,215872628387,Merah,,,15000,,999,,,,,,
24362883227,"Pupuk mawar, Ramuan Buat bunga mawar resep langsung dari petani",157197711402,50gr plastik,,,5000,,9835,0,,,,,
24362883227,"Pupuk mawar, Ramuan Buat bunga mawar resep langsung dari petani",157197711403,150gr botol,,,12000,,8980,,,,,,
23820738202,Bibit Anggrek Vanda Botol Siap Aklimasi isi 25 sampai 30 bibit,156567981517,,tbh28jan2023_tbh28jan2023_1317,,69000,,993,0,,,,,
23820736975,Tanaman Sukulen Tasbih atau Strings Of Pearls,183764769434,,tbh28jan2023_tbh28jan2023_1319,,24219,,985,0,,,,,
23820736894,Tanaman Alocasia Bisma remaja,165508403780,,tbh28jan2023_tbh28jan2023_1320,,89100,,998,0,,,,,
23820736819,Tanaman Koleksi Philodendron Gloriosum,39245441956,,tbh28jan2023_tbh28jan2023_1321,,69900,,999,0,,,,,
23720738619,Pupuk Cair ZPT Atonik Penyubur Tanaman 100 ml,230819955954,,tbh25jan2023_21,,29000,,174,0,,,,,
